chunks,entities,assertion
lung reduction surgery,Procedure,present
pneumectomy,Procedure,present
reduction pneumoplasty,Procedure,present
sternotomy,Procedure,present
clam shell,Medical_Device,present
thoracotomy,Procedure,present
thoracoscopy,Procedure,present
laser applications,Procedure,present
LVRS,Procedure,present
advanced,Modifier,present
COPD,Disease_Syndrome_Disorder,present
emphysema,Disease_Syndrome_Disorder,present
post-operative improvement,Modifier,present
exertional,Modifier,conditional
dyspnea,Symptom,conditional
pulmonary rehabilitation,Treatment,present
bilateral,Direction,present
pneumectomy,Procedure,present
spirometry,Test,present
unilateral,Direction,present
stapled lung reduction,Procedure,present
laser bullectomy surgery,Procedure,present
delayed,Modifier,present
pneumothorax,Disease_Syndrome_Disorder,present
oxygen,Oxygen_Therapy,present
FEV1,Test,present
at 6 months,RelativeDate,present
stapled lung reduction technique,Procedure,present
laser treatment,Medical_Device,present
2003,Date,present
National Emphysema,Disease_Syndrome_Disorder,present
LVRS,Procedure,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
LVRS,Procedure,possible
Lung volume reduction surgery,Procedure,present
After 24 months,RelativeDate,present
Lung volume reduction surgery,Procedure,present
predominantly,Modifier,present
upper-lobe emphysema,Disease_Syndrome_Disorder,present
low base-line exercise capacity,Symptom,present
2003,Date,present
predominantly,Modifier,present
upper-lobe emphysema,Disease_Syndrome_Disorder,present
low exercise capacity,Symptom,present
lower,Direction,present
contrast,Drug_Ingredient,present
LVRS,Procedure,present
negligible functional gain,Symptom,present
predominantly,Modifier,present
non-upper lobe emphysema,Disease_Syndrome_Disorder,present
high base-line exercise capacity,Symptom,present
2003,Date,present
non-upper-lobe emphysema,Disease_Syndrome_Disorder,present
high exercise capacity,Symptom,present
Lung volume reduction surgery,Procedure,present
National Emphysema,Disease_Syndrome_Disorder,present
"Group, 2001",Date,present
death,Death_Entity,present
low,Test_Result,present
FEV1,Test,present
homogenous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
very,Modifier,present
low carbon monoxide diffusing capacity,Symptom,present
2003,Date,present
meta analysis,Test,present
2005,Date,present
advanced,Modifier,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
low exercise tolerance,Symptom,present
LVRS,Procedure,present
improvements in survival,Symptom,absent
predominantly,Modifier,present
upper-lobe emphysema,Disease_Syndrome_Disorder,present
high base-line exercise capacity,Symptom,present
non-upper lobe emphysema,Disease_Syndrome_Disorder,present
low,Test_Result,present
base-line exercise capacity,Test,present
2003,Date,present
pulmonary rehabilitation,Treatment,present
LVRS,Procedure,present
2007,Date,present
LVRS,Procedure,present
alpha-1 antitrypsin,Test,present
AAT,Test,present
deficiency,Disease_Syndrome_Disorder,present
LVRS,Procedure,present
severe,Modifier,present
deficiency of AAT,Disease_Syndrome_Disorder,present
Emphysema,Disease_Syndrome_Disorder,present
severe,Modifier,present
AAT deficiency,Disease_Syndrome_Disorder,present
serum level,Test,present
less than 80 mg/dL,Test_Result,present
male,Gender,present
median serum AAT level,Test,present
55.5 mg/dL,Test_Result,present
age of 66 years,Age,present
FEV1,Test,present
27 %,Test_Result,present
upper-lobe-predominant emphysema,Disease_Syndrome_Disorder,present
LVRS,Procedure,present
LVRS,Procedure,present
greater,Modifier,present
increase in exercise capacity,Symptom,present
at 6 months,RelativeDate,present
FEV1,Test,present
LVRS,Procedure,present
severe,Modifier,present
AAT deficiency,Disease_Syndrome_Disorder,present
FEV1,Test,present
LVRS,Procedure,present
AAT deficiency,Disease_Syndrome_Disorder,present
Giant,Modifier,present
bullous emphysema,Disease_Syndrome_Disorder,possible
GBE,Drug_Ingredient,present
COPD,Disease_Syndrome_Disorder,present
single,Modifier,present
multiple large,Modifier,present
bullae,Disease_Syndrome_Disorder,present
hemi-thorax,Disease_Syndrome_Disorder,possible
often,Modifier,present
displacing potentially functional lung tissue,Symptom,possible
large airspaces,Internal_organ_or_component,present
surgical resection of these bullae,Procedure,present
pulmonary,Internal_organ_or_component,present
Computed tomography,Test,present
CT,Test,present
scan,Test,absent
ICSI,Procedure,present
2004,Date,present
bullectomy,Procedure,present
COPD,Disease_Syndrome_Disorder,present
Global Initiative,Clinical_Dept,present
Chronic Obstructive Pulmonary Disease,Disease_Syndrome_Disorder,present
GOLD,Disease_Syndrome_Disorder,present
2005,Date,present
reducing,Modifier,present
dyspnea,Symptom,present
improving lung function,Symptom,present
thoracic computed tomography scan,Test,present
arterial blood gas measurement,Test,present
comprehensive respiratory function tests,Test,present
resection of a bulla.”,Procedure,present
National Institute,Clinical_Dept,present
2004,Date,present
breathless,Symptom,present
single large bulla,Symptom,present
CT scan,Test,present
FEV1,Test,possible
less than 50 %,Test_Result,possible
bullectomy,Procedure,possible
2005,Date,present
GBE,Drug_Ingredient,present
bullae,Symptom,present
GBE,Drug_Ingredient,present
bullectomy,Procedure,absent
underlying,Modifier,possible
diffuse,Modifier,possible
emphysema,Disease_Syndrome_Disorder,possible
underlying,Modifier,possible
diffuse,Modifier,possible
emphysema,Disease_Syndrome_Disorder,possible
within the 1st year,RelativeDate,present
Bullae,Disease_Syndrome_Disorder,absent
re-appear,Modifier,absent
residual,Modifier,absent
bullae,Symptom,absent
enlarged,Symptom,absent
bullectomy,Procedure,absent
dyspnea score,Symptom,present
bullectomy,Procedure,present
up to the fourth year,RelativeDate,present
intra-thoracic gas volume,Test,present
0.7 L,Dosage,present
FEV1,Test,absent
FEV1/vital capacity ratio,Test,present
until the 2nd year,RelativeDate,present
from the 3rd year,RelativeDate,present
until the 5th year,RelativeDate,present
FEV1,Test,possible
up to the 2nd year,RelativeDate,present
LVRS,Procedure,present
GBE,Drug_Ingredient,present
yearly,Frequency,present
bullectomy,Procedure,present
for at least 5 years,Duration,present
underlying,Modifier,possible
diffuse,Modifier,possible
emphysema,Disease_Syndrome_Disorder,possible
2009,Date,present
alpha-1 antitrypsin deficiency,Disease_Syndrome_Disorder,present
A1AD,Disease_Syndrome_Disorder,present
emphysema,Disease_Syndrome_Disorder,present
young age,Age,present
emphysema,Disease_Syndrome_Disorder,present
smoking,Smoking,present
augmentation therapy,Treatment,present
moderate,Modifier,present
airflow obstruction,Disease_Syndrome_Disorder,present
severe,Modifier,present
airflow obstruction,Disease_Syndrome_Disorder,present
transplantation,Procedure,present
transplanted,Procedure,present
smoking-related,Modifier,present
COPD,Disease_Syndrome_Disorder,present
LVRS,Procedure,present
bridge to transplantation,Procedure,present
Lung volume reduction surgery,Procedure,present
A1AD remains relatively uncommon despite a general perception,Symptom,present
European thoracic surgical centers,Clinical_Dept,present
LVRS,Procedure,present
LVRS,Procedure,present
COPD,Disease_Syndrome_Disorder,present
improved 6-min walk distances,Symptom,present
decreased,Modifier,present
dyspnea,Symptom,present
for 1 to 2 years,Duration,present
LVRS,Procedure,present
A1AD,Disease_Syndrome_Disorder,present
LVRS,Procedure,present
LVRS,Procedure,present
bronchoscopic methods,Procedure,present
lung volume,Internal_organ_or_component,present
advanced,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
LVRS,Procedure,possible
placement of endobronchial 1-way valves,Procedure,present
atelectasis,Disease_Syndrome_Disorder,present
formation of airway bypass,Procedure,present
radiofrequency catheter,Medical_Device,present
lung regions,Internal_organ_or_component,present
biological adhesives,Medical_Device,present
hyper-inflated lung,Internal_organ_or_component,present
placement of endobronchial 1-way valves,Procedure,present
atelectasis,Disease_Syndrome_Disorder,present
formation of airway bypass tracts,Procedure,present
radiofrequency catheter,Medical_Device,present
lung regions,Internal_organ_or_component,present
biological adhesives,Medical_Device,present
hyper-inflated lung,Internal_organ_or_component,present
LVRS,Procedure,present
2008,Date,present
Bronchoscopic placement of small self-expanding 1-way valves,Procedure,present
airways,Internal_organ_or_component,present
open LVRS,Procedure,possible
valves,Internal_organ_or_component,present
lung,Internal_organ_or_component,present
lungs,Internal_organ_or_component,present
valves,Internal_organ_or_component,present
hypoxemia,VS_Finding,present
hypercarbia,VS_Finding,present
less,Modifier,present
impaired,Symptom,present
Zephyr Endobronchial Valve,Medical_Device,present
EBV,Test,present
Emphasys Medical,Medical_Device,present
Redwood City,Medical_Device,present
1-way silicone duckbill valve,Medical_Device,present
self-expanding nitinol stent retainer,Medical_Device,present
Endobronchial Valve,Internal_organ_or_component,present
Emphysema,Disease_Syndrome_Disorder,present
aged,Age,present
40 to 75 years,RelativeDate,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
at various times throughout the course of 1 year,RelativeDate,present
valves,Internal_organ_or_component,present
device,Medical_Device,present
September 2007,Date,present
Umbrella Implantable IntraBronchial Valve,Medical_Device,present
Spiration,Medical_Device,present
Redmond,Medical_Device,absent
WA,Medical_Device,absent
polyurethane membrane,Medical_Device,present
umbrella-shaped nitinol,Medical_Device,present
proximal,Direction,present
support stents,Medical_Device,present
radially,Direction,present
valve,Internal_organ_or_component,possible
distally,Direction,possible
membrane,Internal_organ_or_component,possible
support stents,Medical_Device,present
proximally,Direction,present
valve,Internal_organ_or_component,present
decompression of collateral ventilation,Procedure,present
mucous impaction,Disease_Syndrome_Disorder,possible
obstruction pneumonia,Disease_Syndrome_Disorder,possible
valve,Internal_organ_or_component,present
proximal,Direction,possible
center rod,Medical_Device,present
IBV Valve system,Medical_Device,present
prolonged,Modifier,present
air leaks,Symptom,present
lung,Internal_organ_or_component,absent
significant,Modifier,possible
air leaks,Symptom,present
prolonged,Modifier,present
lobectomy,Procedure,present
segmentectomy,Procedure,possible
LVRS,Procedure,possible
humanitarian device,Medical_Device,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
Biologic Lung Volume Reduction,Procedure,present
BLVR,Medical_Device,present
System,Medical_Device,present
Aeris Therapeutics,Medical_Device,present
Woburn,Medical_Device,present
MA,Medical_Device,present
pharmacologic agents,Drug_Ingredient,conditional
lung,Internal_organ_or_component,present
BLVR procedure,Procedure,present
physician,Employment,present
lung tissue,Internal_organ_or_component,present
bronchoscope,Medical_Device,present
pulmonary surfactant,Internal_organ_or_component,possible
pulmonary epithelium,Internal_organ_or_component,present
air space to collapse on exhalation,Symptom,present
fibrin-based hydrogel,Medical_Device,present
lung,Internal_organ_or_component,present
scar,Symptom,present
lung,Internal_organ_or_component,present
over a period of weeks,RelativeDate,present
diseased lung tissue,Symptom,possible
collapse,Symptom,present
hospital,Clinical_Dept,present
general,Route,present
anesthesia,Drug_Ingredient,present
phase III study,Test,present
emphysema,Disease_Syndrome_Disorder,present
BLVR procedure,Procedure,present
advanced,Modifier,present
upper lobe predominant emphysema,Disease_Syndrome_Disorder,present
advanced,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
2009,Date,present
bronchoscopic lung volume reduction,Procedure,present
collateral ventilation,Oxygen_Therapy,possible
severe,Modifier,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
unilateral,Direction,present
bronchoscopic application,Procedure,present
alveolar tissue,Internal_organ_or_component,present
bronchial thermal vapor ablation,Procedure,present
BTVA,Procedure,present
controlled,Modifier,present
inflammatory airway and parenchymal response,Symptom,present
women,Gender,present
men,Gender,present
age of 61 years,Age,present
FEV1,Test,present
unilateral,Direction,present
upper lobe treatments,Procedure,present
bacterial pneumonia,Disease_Syndrome_Disorder,possible
exacerbations of airways disease,Disease_Syndrome_Disorder,present
important,Modifier,absent
FEV1 or RV changes,Symptom,absent
during 6 months,RelativeDate,present
Dyspnoea Score,Test,present
2.6 to 2.1,Test_Result,present
St. George Respiratory Questionnaire Total Score,Test,present
64.4,Test_Result,present
49.1,Test_Result,present
unilateral,Direction,present
BTVA therapy,Procedure,present
2009,Date,present
bronchoscopic LVR,Treatment,present
pulmonary,Internal_organ_or_component,present
severe,Modifier,present
heterogeneous,Modifier,present
lung emphysema,Disease_Syndrome_Disorder,present
1-way valve placement,Procedure,present
homogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
CT-scans,Test,present
researchers,Employment,present
unilateral,Direction,present
LVR,Procedure,present
lobe,Internal_organ_or_component,present
nuclear scintigraphy,Test,present
lung function test,Test,present
90,Test_Result,present
mean FEV1,Test,present
0.93 L,Test_Result,possible
dyspnoe and exercising tolerance,Symptom,present
major changes in lung function,Symptom,absent
pneumothorax,Disease_Syndrome_Disorder,present
valves,Medical_Device,present
after 90 days,RelativeDate,present
recurrent,Modifier,present
infections,Disease_Syndrome_Disorder,present
bronchoscopic LVR,Procedure,present
severe,Modifier,present
homogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,possible
contrast,Drug_Ingredient,present
bronchoscopic treatment,Procedure,present
clinical pilot study,Test,present
2010,Date,present
endoscopic LVR,Procedure,present
collateral ventilation,Oxygen_Therapy,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
Emphysema,Disease_Syndrome_Disorder,present
Homogenous and heterogeneous disease,Disease_Syndrome_Disorder,present
parenchyma,Internal_organ_or_component,present
diseased area,Symptom,present
parenchymal compression,Disease_Syndrome_Disorder,present
general,Route,present
anesthesia,Drug_Ingredient,present
coils,Medical_Device,present
7 to 11 months,Duration,present
severe,Modifier,present
pneumothorax,Disease_Syndrome_Disorder,absent
endoscopic LVR,Medical_Device,present
coils,Medical_Device,present
2013,Date,present
obstructive lung disease,Disease_Syndrome_Disorder,possible
emphysematous lung disease,Disease_Syndrome_Disorder,possible
lung volume reduction,Procedure,present
bronchoscopic,Procedure,hypothetical
COPD,Disease_Syndrome_Disorder,hypothetical
bronchoscopic lung volume reduction,Procedure,present
2013,Date,present
self-expanding endobronchial occluder,Medical_Device,present
bronchoscopic lung volume reduction,Procedure,present
36 month,Duration,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
flexible bronchoscopic placement,Procedure,present
self-expanding endobronchial occluders,Medical_Device,present
1 week,Age,present
pulmonary function testing,Test,present
6-min walk test,Test,conditional
dyspnea score,Test,conditional
BODE,Test,present
body mass index,Test,conditional
air-flow obstruction,Disease_Syndrome_Disorder,present
dyspnea,Symptom,present
exercise capacity,Test,present
index,Test,present
St George's Respiratory Questionnaire,Test,present
self-expanding endobronchial occluders,Medical_Device,present
displacement,Symptom,absent
cough,Symptom,present
lobar pneumonia,Disease_Syndrome_Disorder,present
FEV1,Test,absent
significant,Modifier,absent
changes were observed in FVC,Symptom,absent
TLC,Test,absent
dyspnea score,Test,present
St George's Respiratory Questionnaire total score,Test,present
improved in 22,Test_Result,present
over a 24-month period,RelativeDate,present
early,Modifier,absent
significant,Modifier,absent
improvements in pulmonary function,Symptom,present
6-min walk distance,Symptom,present
dyspnea score,Symptom,present
placement of the self-expanding endobronchial occluder,Procedure,present
bronchoscopic lung volume reduction,Procedure,present
2013,Date,present
bronchoscopic techniques,Procedure,present
bronchoscopic lung volume reduction,Procedure,possible
lung,Internal_organ_or_component,present
emphysema,Disease_Syndrome_Disorder,present
airway bypass,Procedure,present
creation of airway/parenchyma communications,Procedure,present
endobronchial valves,Internal_organ_or_component,present
airways,Internal_organ_or_component,present
lobes,Internal_organ_or_component,present
endobronchial coils,Medical_Device,present
parenchyma,Internal_organ_or_component,present
alveoli,Internal_organ_or_component,present
Bronchial valves,Internal_organ_or_component,present
very narrow,Modifier,present
emphysema,Disease_Syndrome_Disorder,possible
reversible,Modifier,present
Parenchymal,Internal_organ_or_component,present
permanent effects,Symptom,present
transient,Modifier,present
inflammatory syndrome,Disease_Syndrome_Disorder,present
fissure,Internal_organ_or_component,present
severe,Modifier,present
lung emphysema,Disease_Syndrome_Disorder,present
2014,RelativeDate,present
COPD,Disease_Syndrome_Disorder,present
Emphysema,Disease_Syndrome_Disorder,present
COPD,Disease_Syndrome_Disorder,present
reduced gas exchange,Symptom,present
interference with breathing mechanics,Symptom,present
Endoscopic lung volume reduction,Procedure,present
1-way valves,Medical_Device,present
atelectasis,Disease_Syndrome_Disorder,present
hyper-inflated lobe,Internal_organ_or_component,present
over the last decade,RelativeDate,present
Clinical Trials Databases,Test,present
COPD,Disease_Syndrome_Disorder,present
emphysema,Disease_Syndrome_Disorder,present
lung volume reduction,Procedure,possible
endobronchial valves,Internal_organ_or_component,present
complete,Modifier,present
lobar occlusion,Disease_Syndrome_Disorder,hypothetical
lobar fissure,Internal_organ_or_component,present
greater,Modifier,present
heterogeneity,Symptom,present
upper and lower lobes,Internal_organ_or_component,present
endobronchial valves,Internal_organ_or_component,present
emphysema,Disease_Syndrome_Disorder,present
pneumothoraces,Disease_Syndrome_Disorder,possible
significant,Modifier,present
benefit in terms of lung function,Symptom,present
chronic,Modifier,present
obstructive pulmonary disease”,Disease_Syndrome_Disorder,present
2013,Date,present
post-hoc analysis,Test,present
BLVR,Test,present
Bronchoscopic Lung Volume Reduction,Procedure,present
COPD,Disease_Syndrome_Disorder,present
severe,Modifier,present
airflow limitation,Symptom,present
FEV1,Test,present
15 % - 45 %,Test_Result,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
computed tomography,Test,present
CT,Test,present
scan,Test,present
hyperinflation,Symptom,present
total lung capacity,Test,present
modest,Modifier,present
improvements in lung function,Symptom,present
exercise tolerance,Symptom,present
frequent,Modifier,present
exacerbations,Modifier,present
COPD,Disease_Syndrome_Disorder,present
pneumonia,Disease_Syndrome_Disorder,present
hemoptysis,Symptom,present
“Diagnosis,Disease_Syndrome_Disorder,present
chronic obstructive pulmonary disease,Disease_Syndrome_Disorder,present
"al, 2013",Date,present
“Bronchoscopic LVR,Procedure,present
COPD,Disease_Syndrome_Disorder,present
2014,RelativeDate,present
COPD,Disease_Syndrome_Disorder,present
progressive,Modifier,present
National Emphysema,Disease_Syndrome_Disorder,present
LVRS,Procedure,present
debilitated,Modifier,present
COPD,Disease_Syndrome_Disorder,present
BLVR,Medical_Device,present
In recent years,RelativeDate,present
non-invasive BLVR procedures,Procedure,present
Bronchoscopic lung volume reduction,Procedure,present
hyper-inflation,Internal_organ_or_component,present
emphysema,Disease_Syndrome_Disorder,present
surgical resection,Procedure,present
BLVR devices,Medical_Device,present
endobronchial valves,Medical_Device,present
foam sealant,Medical_Device,present
metallic coils,Medical_Device,present
airway bypass stents,Medical_Device,present
vapor thermal ablation,Procedure,present
Endobronchial valves,Internal_organ_or_component,present
affected,Modifier,present
emphysematous regions,Symptom,present
lobar absorption atelectasis,Disease_Syndrome_Disorder,present
Airway bypass stents,Procedure,present
homogenous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
valves and thermal vapor ablation,Procedure,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
endoscopic coil implants,Medical_Device,present
heterogeneous,Modifier,absent
emphysema,Disease_Syndrome_Disorder,absent
BLVR,Procedure,possible
COPD,Disease_Syndrome_Disorder,present
Ludwig Boltzmann Institute,Clinical_Dept,present
endobronchial valve implantation,Procedure,present
emphysema,Disease_Syndrome_Disorder,present
‘endobronchial valve implantation,Procedure,present
severe,Modifier,present
pulmonary emphysema’,Symptom,present
Bronchoscopic Lung Volume Reduction,Procedure,present
Severe,Modifier,present
Emphysema,Disease_Syndrome_Disorder,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
limited,Modifier,present
Lung volume reduction,Procedure,present
nitinol coils,Medical_Device,present
bronchoscopic intervention,Procedure,present
regional parenchymal volume reduction,Procedure,present
lung recoil,Symptom,present
researchers,Employment,present
nitinol coils,Medical_Device,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
10 university hospitals,Clinical_Dept,present
emphysema,Disease_Syndrome_Disorder,present
March,Date,present
October 2013,Date,present
December 2014,Date,present
bronchodilators,Drug_Ingredient,hypothetical
inhaled,Route,hypothetical
corticosteroids,Drug_Ingredient,hypothetical
oxygen,Oxygen_Therapy,hypothetical
bilateral,Direction,hypothetical
coil treatment,Procedure,hypothetical
bilateral,Direction,hypothetical
lobes,Internal_organ_or_component,hypothetical
at 6 months,RelativeDate,present
at 6 and 12 months,RelativeDate,present
lung,Internal_organ_or_component,present
St George's Respiratory Questionnaire,Test,present
71,Age,present
men,Gender,present
29,Age,present
women,Gender,present
mean age of 62 years,Age,present
At 6 months,RelativeDate,present
St George's Respiratory Questionnaire,Test,present
Within 12 months,RelativeDate,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
for 6 months,Duration,present
bronchoscopic treatment,Procedure,present
nitinol coils,Medical_Device,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
heterogeneous,Modifier,absent
emphysema,Disease_Syndrome_Disorder,present
physicians,Employment,present
COPD,Disease_Syndrome_Disorder,present
Endobronchial Valves,Medical_Device,present
Advanced,Modifier,present
Emphysema,Disease_Syndrome_Disorder,present
bronchoscopic lung volume reduction,Procedure,present
endobronchial valves,Procedure,present
EBV,Test,present
advanced,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
emphysema,Disease_Syndrome_Disorder,present
for 3 to 12 months,Duration,present
EBV,Test,present
EBV,Test,present
advanced,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
EBV,Test,present
FEV1,Test,present
FEV1%,Test,present
St George's Respiratory Questionnaire,Test,present
SGRQ,Test,present
6MWD test,Test,conditional
Modified Medical Research Council,Clinical_Dept,conditional
MMRC,Symptom,conditional
dyspnea score,Symptom,conditional
at 3 or 12 months,RelativeDate,hypothetical
EBV,Test,possible
FEV1%,Test,possible
EBV,Test,absent
SGRQ score,Test,possible
MMRC dyspnea score,Symptom,present
EBV,Test,absent
hemoptysis,Symptom,absent
RR,Test,absent
AES,Disease_Syndrome_Disorder,absent
respiratory failure,VS_Finding,present
