chunks,begin,end,sentence_id,entities
sustained,4404,4412,27,Modifier
supraventricular tachycardia,4414,4441,27,Heart_Disease
SVT,4444,4446,27,Heart_Disease
Uncontrolled,4449,4460,28,Modifier
hypertension,4462,4473,28,Hypertension
Unplanned,4545,4553,29,Modifier
weight loss,4555,4565,29,Symptom
within 3 months prior,4585,4605,29,RelativeDate
lung volume reduction surgery,4653,4681,30,Procedure
bullectomy,4860,4869,31,Procedure
dyspneic,4912,4919,31,Symptom
giant,4934,4938,31,Modifier
bulbous emphysema,4940,4956,31,Disease_Syndrome_Disorder
single large bulla,4975,4992,31,Symptom
significant,5004,5014,31,Modifier
respiratory compromise,5016,5037,31,Symptom
FEV1,5040,5043,31,Test
less than 50 %,5048,5061,31,Test_Result
video-assisted thoracoscopic,5093,5120,32,Procedure
VATS,5123,5126,32,Procedure
pneumothorax,5204,5215,32,Disease_Syndrome_Disorder
thoracoscopic bullectomy,5235,5258,33,Procedure
primary,5344,5350,33,Modifier
spontaneous pneumothorax,5352,5375,33,Disease_Syndrome_Disorder
bullectomy,5463,5472,34,Procedure
thoracoscopic laser bullectomy,5650,5679,35,Procedure
emphysematous lung disease,5747,5772,35,Disease_Syndrome_Disorder
thoracoscopic laser surgery,5878,5904,36,Procedure
decreased symptoms and improved pulmonary function,6088,6137,37,Symptom
endobronchial valve,6276,6294,38,Medical_Device
Spiration Valve System,6307,6328,38,Medical_Device
Zephyr Valve System,6338,6356,38,Medical_Device
bronchoscopic treatment,6387,6409,38,Procedure
hyperinflation,6434,6447,38,Symptom
severe,6465,6470,38,Modifier
emphysema in regions of the lung,6472,6503,38,Disease_Syndrome_Disorder
collateral ventilation,6528,6549,38,Oxygen_Therapy
bronchoscopic lung volume reduction procedures,6575,6620,39,Procedure
emphysema,6643,6651,39,Disease_Syndrome_Disorder
Biologic lung volume reduction,6780,6809,39,Procedure
Aeris Therapeutics,6818,6835,39,Medical_Device
Woburn,6844,6849,39,Medical_Device
MA,6852,6853,39,Medical_Device
Biologic Lung Volume Reduction,6856,6885,39,Procedure
BLVR,6888,6891,39,Procedure
System,6894,6899,39,Medical_Device
bronchoscopic thermal vapor ablation,6920,6955,40,Procedure
emphysema,7011,7019,40,Disease_Syndrome_Disorder
Lung volume reduction surgery,7084,7112,42,Procedure
LVRS,7115,7118,42,Procedure
advanced,7231,7238,42,Modifier
chronic obstructive pulmonary disease,7240,7276,42,Disease_Syndrome_Disorder
COPD,7279,7282,42,Disease_Syndrome_Disorder
emphysema,7292,7300,42,Disease_Syndrome_Disorder
emphysema,7343,7351,43,Disease_Syndrome_Disorder
excision of large bullae,7365,7388,43,Procedure
thoracotomy,7393,7403,43,Procedure
thoracoscopy,7408,7419,43,Procedure
resection of diffusely emphysematous lung tissue,7429,7476,43,Procedure
lung reduction surgery,7527,7548,44,Procedure
pneumectomy,7551,7561,44,Procedure
reduction pneumoplasty,7568,7589,44,Procedure
sternotomy,7643,7652,44,Procedure
clam shell,7655,7664,44,Medical_Device
thoracotomy,7667,7677,44,Procedure
thoracoscopy,7686,7697,44,Procedure
laser applications,7727,7744,44,Procedure
LVRS,7951,7954,46,Procedure
advanced,8013,8020,46,Modifier
COPD,8022,8025,46,Disease_Syndrome_Disorder
emphysema,8034,8042,46,Disease_Syndrome_Disorder
post-operative improvement,8078,8103,47,Modifier
exertional,8108,8117,47,Modifier
dyspnea,8119,8125,47,Symptom
pulmonary rehabilitation,8334,8357,48,Treatment
bilateral,8404,8412,49,Direction
pneumectomy,8414,8424,49,Procedure
spirometry,8449,8458,49,Test
unilateral,8495,8504,49,Direction
stapled lung reduction,8583,8604,50,Procedure
laser bullectomy surgery,8609,8632,50,Procedure
delayed,8708,8714,50,Modifier
pneumothorax,8716,8727,50,Disease_Syndrome_Disorder
oxygen,8785,8790,50,Oxygen_Therapy
FEV1,8881,8884,51,Test
at 6 months,8887,8897,51,RelativeDate
stapled lung reduction technique,8937,8968,51,Procedure
laser treatment,9000,9014,51,Medical_Device
2003,9054,9057,52,Date
National Emphysema,9091,9108,52,Disease_Syndrome_Disorder
LVRS,9179,9182,52,Procedure
severe,9240,9245,53,Modifier
emphysema,9247,9255,53,Disease_Syndrome_Disorder
LVRS,9291,9294,53,Procedure
Lung volume reduction surgery,9340,9368,54,Procedure
After 24 months,9507,9521,55,RelativeDate
Lung volume reduction surgery,9683,9711,56,Procedure
predominantly,9776,9788,56,Modifier
upper-lobe emphysema,9790,9809,56,Disease_Syndrome_Disorder
low base-line exercise capacity,9815,9845,56,Symptom
2003,9863,9866,56,Date
predominantly,9891,9903,57,Modifier
upper-lobe emphysema,9905,9924,57,Disease_Syndrome_Disorder
low exercise capacity,9930,9950,57,Symptom
lower,9982,9986,57,Direction
contrast,10048,10055,58,Drug_Ingredient
LVRS,10058,10061,58,Procedure
negligible functional gain,10112,10137,58,Symptom
predominantly,10159,10171,58,Modifier
non-upper lobe emphysema,10173,10196,58,Disease_Syndrome_Disorder
high base-line exercise capacity,10204,10235,58,Symptom
2003,10253,10256,58,Date
non-upper-lobe emphysema,10281,10304,59,Disease_Syndrome_Disorder
high exercise capacity,10310,10331,59,Symptom
Lung volume reduction surgery,10417,10445,60,Procedure
National Emphysema,10542,10559,60,Disease_Syndrome_Disorder
"Group, 2001",10586,10596,60,Date
death,10632,10636,60,Death_Entity
low,10676,10678,60,Test_Result
FEV1,10680,10683,60,Test
homogenous,10726,10735,60,Modifier
emphysema,10737,10745,60,Disease_Syndrome_Disorder
very,10752,10755,60,Modifier
low carbon monoxide diffusing capacity,10757,10794,60,Symptom
2003,10842,10845,60,Date
meta analysis,10852,10864,61,Test
2005,10881,10884,61,Date
advanced,10936,10943,61,Modifier
heterogeneous,10946,10958,61,Modifier
emphysema,10960,10968,61,Disease_Syndrome_Disorder
low exercise tolerance,10974,10995,61,Symptom
LVRS,11070,11073,61,Procedure
improvements in survival,11130,11153,62,Symptom
predominantly,11183,11195,62,Modifier
upper-lobe emphysema,11197,11216,62,Disease_Syndrome_Disorder
high base-line exercise capacity,11224,11255,62,Symptom
non-upper lobe emphysema,11275,11298,62,Disease_Syndrome_Disorder
low,11306,11308,62,Test_Result
base-line exercise capacity,11310,11336,62,Test
2003,11354,11357,62,Date
pulmonary rehabilitation,11384,11407,63,Treatment
LVRS,11415,11418,63,Procedure
2007,11473,11476,64,Date
LVRS,11502,11505,64,Procedure
alpha-1 antitrypsin,11528,11546,64,Test
AAT,11549,11551,64,Test
deficiency,11554,11563,64,Disease_Syndrome_Disorder
LVRS,11620,11623,65,Procedure
severe,11645,11650,65,Modifier
deficiency of AAT,11652,11668,65,Disease_Syndrome_Disorder
Emphysema,11713,11721,65,Disease_Syndrome_Disorder
severe,11786,11791,65,Modifier
AAT deficiency,11793,11806,65,Disease_Syndrome_Disorder
serum level,11809,11819,65,Test
less than 80 mg/dL,11821,11838,65,Test_Result
male,11936,11939,66,Gender
median serum AAT level,11942,11963,66,Test
55.5 mg/dL,11968,11977,66,Test_Result
age of 66 years,11980,11994,66,Age
FEV1,11997,12000,66,Test
27 %,12002,12005,66,Test_Result
upper-lobe-predominant emphysema,12031,12062,66,Disease_Syndrome_Disorder
LVRS,12096,12099,67,Procedure
LVRS,12381,12384,69,Procedure
greater,12395,12401,69,Modifier
increase in exercise capacity,12403,12431,69,Symptom
at 6 months,12433,12443,69,RelativeDate
FEV1,12511,12514,69,Test
LVRS,12651,12654,70,Procedure
severe,12659,12664,70,Modifier
AAT deficiency,12666,12679,70,Disease_Syndrome_Disorder
FEV1,12791,12794,71,Test
LVRS,12985,12988,71,Procedure
AAT deficiency,12993,13006,71,Disease_Syndrome_Disorder
Giant,13010,13014,72,Modifier
bullous emphysema,13016,13032,72,Disease_Syndrome_Disorder
GBE,13035,13037,72,Drug_Ingredient
COPD,13074,13077,72,Disease_Syndrome_Disorder
single,13087,13092,72,Modifier
multiple large,13097,13110,72,Modifier
bullae,13112,13117,72,Disease_Syndrome_Disorder
hemi-thorax,13147,13157,72,Disease_Syndrome_Disorder
often,13160,13164,72,Modifier
displacing potentially functional lung tissue,13166,13210,72,Symptom
large airspaces,13221,13235,72,Internal_organ_or_component
surgical resection of these bullae,13280,13313,73,Procedure
pulmonary,13339,13347,73,Internal_organ_or_component
Computed tomography,13381,13399,74,Test
CT,13402,13403,74,Test
scan,13406,13409,74,Test
ICSI,13533,13536,75,Procedure
2004,13539,13542,75,Date
bullectomy,13546,13555,75,Procedure
COPD,13631,13634,76,Disease_Syndrome_Disorder
Global Initiative,13645,13661,76,Clinical_Dept
Chronic Obstructive Pulmonary Disease,13667,13703,76,Disease_Syndrome_Disorder
GOLD,13706,13709,76,Disease_Syndrome_Disorder
2005,13720,13723,76,Date
reducing,13791,13798,76,Modifier
dyspnea,13800,13806,76,Symptom
improving lung function,13812,13834,76,Symptom
thoracic computed tomography scan,13840,13872,77,Test
arterial blood gas measurement,13875,13904,77,Test
comprehensive respiratory function tests,13911,13950,77,Test
resection of a bulla.”,14029,14050,77,Procedure
National Institute,14095,14112,78,Clinical_Dept
2004,14145,14148,78,Date
breathless,14169,14178,78,Symptom
single large bulla,14192,14209,78,Symptom
CT scan,14216,14222,78,Test
FEV1,14231,14234,78,Test
less than 50 %,14236,14249,78,Test_Result
bullectomy,14301,14310,78,Procedure
2005,14360,14363,79,Date
GBE,14428,14430,79,Drug_Ingredient
bullae,14512,14517,79,Symptom
GBE,14661,14663,80,Drug_Ingredient
bullectomy,14711,14720,80,Procedure
underlying,14881,14890,81,Modifier
diffuse,14892,14898,81,Modifier
emphysema,14900,14908,81,Disease_Syndrome_Disorder
underlying,14947,14956,81,Modifier
diffuse,14958,14964,81,Modifier
emphysema,14966,14974,81,Disease_Syndrome_Disorder
within the 1st year,15032,15050,82,RelativeDate
Bullae,15173,15178,83,Disease_Syndrome_Disorder
re-appear,15188,15196,83,Modifier
residual,15202,15209,83,Modifier
bullae,15211,15216,83,Symptom
enlarged,15233,15240,83,Symptom
bullectomy,15277,15286,83,Procedure
dyspnea score,15316,15328,84,Symptom
bullectomy,15367,15376,84,Procedure
up to the fourth year,15382,15402,84,RelativeDate
intra-thoracic gas volume,15418,15442,84,Test
0.7 L,15485,15489,84,Dosage
FEV1,15520,15523,85,Test
FEV1/vital capacity ratio,15551,15575,85,Test
until the 2nd year,15600,15617,85,RelativeDate
from the 3rd year,15626,15642,85,RelativeDate
until the 5th year,15729,15746,85,RelativeDate
FEV1,15884,15887,86,Test
up to the 2nd year,15927,15944,86,RelativeDate
LVRS,16289,16292,87,Procedure
GBE,16348,16350,88,Drug_Ingredient
yearly,16419,16424,88,Frequency
bullectomy,16460,16469,88,Procedure
for at least 5 years,16553,16572,88,Duration
underlying,16627,16636,89,Modifier
diffuse,16638,16644,89,Modifier
emphysema,16646,16654,89,Disease_Syndrome_Disorder
2009,16679,16682,90,Date
alpha-1 antitrypsin deficiency,16706,16735,90,Disease_Syndrome_Disorder
A1AD,16738,16741,90,Disease_Syndrome_Disorder
emphysema,16800,16808,90,Disease_Syndrome_Disorder
young age,16909,16917,91,Age
emphysema,16964,16972,91,Disease_Syndrome_Disorder
smoking,17082,17088,92,Smoking
augmentation therapy,17102,17121,92,Treatment
moderate,17158,17165,92,Modifier
airflow obstruction,17167,17185,92,Disease_Syndrome_Disorder
severe,17211,17216,93,Modifier
airflow obstruction,17218,17236,93,Disease_Syndrome_Disorder
transplantation,17344,17358,93,Procedure
transplanted,17458,17469,93,Procedure
smoking-related,17475,17489,93,Modifier
COPD,17491,17494,93,Disease_Syndrome_Disorder
LVRS,17541,17544,94,Procedure
bridge to transplantation,17635,17659,94,Procedure
Lung volume reduction surgery,17663,17691,95,Procedure
A1AD remains relatively uncommon despite a general perception,17715,17775,95,Symptom
European thoracic surgical centers,17828,17861,96,Clinical_Dept
LVRS,17965,17968,96,Procedure
LVRS,18025,18028,97,Procedure
COPD,18100,18103,97,Disease_Syndrome_Disorder
improved 6-min walk distances,18130,18158,97,Symptom
decreased,18164,18172,97,Modifier
dyspnea,18174,18180,97,Symptom
for 1 to 2 years,18193,18208,97,Duration
LVRS,18216,18219,97,Procedure
A1AD,18241,18244,97,Disease_Syndrome_Disorder
LVRS,18469,18472,98,Procedure
LVRS,18482,18485,99,Procedure
bronchoscopic methods,18551,18571,99,Procedure
lung volume,18586,18596,99,Internal_organ_or_component
advanced,18615,18622,99,Modifier
emphysema,18624,18632,99,Disease_Syndrome_Disorder
LVRS,18736,18739,99,Procedure
placement of endobronchial 1-way valves,18769,18807,100,Procedure
atelectasis,18829,18839,100,Disease_Syndrome_Disorder
formation of airway bypass,18871,18896,100,Procedure
radiofrequency catheter,18913,18935,100,Medical_Device
lung regions,18980,18991,100,Internal_organ_or_component
biological adhesives,19041,19060,100,Medical_Device
hyper-inflated lung,19095,19113,100,Internal_organ_or_component
placement of endobronchial 1-way valves,19118,19156,101,Procedure
atelectasis,19178,19188,101,Disease_Syndrome_Disorder
formation of airway bypass tracts,19220,19252,101,Procedure
radiofrequency catheter,19262,19284,101,Medical_Device
lung regions,19329,19340,101,Internal_organ_or_component
biological adhesives,19390,19409,101,Medical_Device
hyper-inflated lung,19444,19462,101,Internal_organ_or_component
LVRS,19665,19668,103,Procedure
2008,19914,19917,104,Date
Bronchoscopic placement of small self-expanding 1-way valves,19922,19981,105,Procedure
airways,19988,19994,105,Internal_organ_or_component
open LVRS,20080,20088,105,Procedure
valves,20096,20101,106,Internal_organ_or_component
lung,20187,20190,106,Internal_organ_or_component
lungs,20286,20290,107,Internal_organ_or_component
valves,20297,20302,107,Internal_organ_or_component
hypoxemia,20333,20341,107,VS_Finding
hypercarbia,20347,20357,107,VS_Finding
less,20411,20414,107,Modifier
impaired,20416,20423,107,Symptom
Zephyr Endobronchial Valve,20432,20457,108,Medical_Device
EBV,20460,20462,108,Test
Emphasys Medical,20466,20481,108,Medical_Device
Redwood City,20490,20501,108,Medical_Device
1-way silicone duckbill valve,20522,20550,108,Medical_Device
self-expanding nitinol stent retainer,20566,20602,108,Medical_Device
Endobronchial Valve,20673,20691,109,Internal_organ_or_component
Emphysema,20697,20705,109,Disease_Syndrome_Disorder
aged,20791,20794,109,Age
40 to 75 years,20796,20809,109,RelativeDate
heterogeneous,20816,20828,109,Modifier
emphysema,20830,20838,109,Disease_Syndrome_Disorder
at various times throughout the course of 1 year,21054,21101,111,RelativeDate
valves,21109,21114,112,Internal_organ_or_component
device,21209,21214,113,Medical_Device
September 2007,21284,21297,113,Date
Umbrella Implantable IntraBronchial Valve,21460,21500,115,Medical_Device
Spiration,21509,21517,115,Medical_Device
Redmond,21526,21532,115,Medical_Device
WA,21535,21536,115,Medical_Device
polyurethane membrane,21553,21573,115,Medical_Device
umbrella-shaped nitinol,21583,21605,115,Medical_Device
proximal,21637,21644,116,Direction
support stents,21670,21683,116,Medical_Device
radially,21697,21704,116,Direction
valve,21712,21716,117,Internal_organ_or_component
distally,21747,21754,117,Direction
membrane,21765,21772,117,Internal_organ_or_component
support stents,21778,21791,117,Medical_Device
proximally,21845,21854,117,Direction
valve,21865,21869,117,Internal_organ_or_component
decompression of collateral ventilation,21889,21927,117,Procedure
mucous impaction,21958,21973,117,Disease_Syndrome_Disorder
obstruction pneumonia,21979,21999,117,Disease_Syndrome_Disorder
valve,22007,22011,118,Internal_organ_or_component
proximal,22031,22038,118,Direction
center rod,22040,22049,118,Medical_Device
IBV Valve system,22122,22137,119,Medical_Device
prolonged,22150,22158,119,Modifier
air leaks,22160,22168,119,Symptom
lung,22177,22180,119,Internal_organ_or_component
significant,22185,22195,119,Modifier
air leaks,22197,22205,119,Symptom
prolonged,22233,22241,119,Modifier
lobectomy,22253,22261,119,Procedure
segmentectomy,22264,22276,119,Procedure
LVRS,22281,22284,119,Procedure
humanitarian device,22294,22312,119,Medical_Device
severe,22431,22436,120,Modifier
emphysema,22438,22446,120,Disease_Syndrome_Disorder
Biologic Lung Volume Reduction,22620,22649,121,Procedure
BLVR,22652,22655,121,Medical_Device
System,22658,22663,121,Medical_Device
Aeris Therapeutics,22666,22683,121,Medical_Device
Woburn,22692,22697,121,Medical_Device
MA,22700,22701,121,Medical_Device
pharmacologic agents,22746,22765,121,Drug_Ingredient
lung,22820,22823,121,Internal_organ_or_component
BLVR procedure,22836,22849,122,Procedure
physician,22856,22864,122,Employment
lung tissue,22899,22909,122,Internal_organ_or_component
bronchoscope,22918,22929,122,Medical_Device
pulmonary surfactant,22973,22992,122,Internal_organ_or_component
pulmonary epithelium,23005,23024,122,Internal_organ_or_component
air space to collapse on exhalation,23040,23074,123,Symptom
fibrin-based hydrogel,23080,23100,124,Medical_Device
lung,23176,23179,124,Internal_organ_or_component
scar,23199,23202,124,Symptom
lung,23253,23256,125,Internal_organ_or_component
over a period of weeks,23265,23286,125,RelativeDate
diseased lung tissue,23291,23310,125,Symptom
collapse,23325,23332,125,Symptom
hospital,23357,23364,126,Clinical_Dept
general,23372,23378,126,Route
anesthesia,23380,23389,126,Drug_Ingredient
phase III study,23475,23489,127,Test
emphysema,23695,23703,128,Disease_Syndrome_Disorder
BLVR procedure,23720,23733,129,Procedure
advanced,23785,23792,129,Modifier
upper lobe predominant emphysema,23794,23825,129,Disease_Syndrome_Disorder
advanced,24023,24030,130,Modifier
emphysema,24032,24040,130,Disease_Syndrome_Disorder
2009,24088,24091,131,Date
bronchoscopic lung volume reduction,24154,24188,131,Procedure
collateral ventilation,24223,24244,131,Oxygen_Therapy
severe,24276,24281,132,Modifier
heterogeneous,24283,24295,132,Modifier
emphysema,24297,24305,132,Disease_Syndrome_Disorder
unilateral,24317,24326,132,Direction
bronchoscopic application,24328,24352,132,Procedure
alveolar tissue,24397,24411,132,Internal_organ_or_component
bronchial thermal vapor ablation,24438,24469,132,Procedure
BTVA,24472,24475,132,Procedure
controlled,24497,24506,132,Modifier
inflammatory airway and parenchymal response,24508,24551,132,Symptom
women,24579,24583,133,Gender
men,24591,24593,133,Gender
age of 61 years,24608,24622,133,Age
FEV1,24625,24628,133,Test
unilateral,24784,24793,133,Direction
upper lobe treatments,24795,24815,133,Procedure
bacterial pneumonia,24865,24883,134,Disease_Syndrome_Disorder
exacerbations of airways disease,24889,24920,134,Disease_Syndrome_Disorder
important,24941,24949,135,Modifier
FEV1 or RV changes,24951,24968,135,Symptom
during 6 months,24979,24993,135,RelativeDate
Dyspnoea Score,25103,25116,135,Test
2.6 to 2.1,25132,25141,135,Test_Result
St. George Respiratory Questionnaire Total Score,25152,25199,135,Test
64.4,25215,25218,135,Test_Result
49.1,25235,25238,135,Test_Result
unilateral,25294,25303,136,Direction
BTVA therapy,25305,25316,136,Procedure
2009,25428,25431,137,Date
bronchoscopic LVR,25452,25468,137,Treatment
pulmonary,25486,25494,137,Internal_organ_or_component
severe,25563,25568,137,Modifier
heterogeneous,25570,25582,137,Modifier
lung emphysema,25584,25597,137,Disease_Syndrome_Disorder
1-way valve placement,25628,25648,138,Procedure
homogeneous,25653,25663,138,Modifier
emphysema,25665,25673,138,Disease_Syndrome_Disorder
CT-scans,25831,25838,140,Test
researchers,25848,25858,141,Employment
unilateral,25870,25879,141,Direction
LVR,25881,25883,141,Procedure
lobe,25902,25905,141,Internal_organ_or_component
nuclear scintigraphy,25946,25965,141,Test
lung function test,26008,26025,142,Test
90,26089,26090,142,Test_Result
mean FEV1,26140,26148,143,Test
0.93 L,26154,26159,143,Test_Result
dyspnoe and exercising tolerance,26289,26320,144,Symptom
major changes in lung function,26351,26380,145,Symptom
pneumothorax,26498,26509,147,Disease_Syndrome_Disorder
valves,26538,26543,147,Medical_Device
after 90 days,26558,26570,147,RelativeDate
recurrent,26583,26591,147,Modifier
infections,26593,26602,147,Disease_Syndrome_Disorder
bronchoscopic LVR,26672,26688,148,Procedure
severe,26707,26712,148,Modifier
homogeneous,26714,26724,148,Modifier
emphysema,26726,26734,148,Disease_Syndrome_Disorder
contrast,26774,26781,149,Drug_Ingredient
bronchoscopic treatment,26839,26861,149,Procedure
clinical pilot study,26977,26996,151,Test
2010,27012,27015,151,Date
endoscopic LVR,27063,27076,151,Procedure
collateral ventilation,27117,27138,151,Oxygen_Therapy
severe,27161,27166,152,Modifier
emphysema,27168,27176,152,Disease_Syndrome_Disorder
Emphysema,27259,27267,153,Disease_Syndrome_Disorder
Homogenous and heterogeneous disease,27300,27335,154,Disease_Syndrome_Disorder
parenchyma,27406,27415,155,Internal_organ_or_component
diseased area,27429,27441,155,Symptom
parenchymal compression,27472,27494,155,Disease_Syndrome_Disorder
general,27685,27691,159,Route
anesthesia,27693,27702,159,Drug_Ingredient
coils,27760,27764,159,Medical_Device
7 to 11 months,27846,27859,161,Duration
severe,27924,27929,161,Modifier
pneumothorax,27936,27947,162,Disease_Syndrome_Disorder
endoscopic LVR,28059,28072,164,Medical_Device
coils,28079,28083,164,Medical_Device
2013,28197,28200,166,Date
obstructive lung disease,28232,28255,166,Disease_Syndrome_Disorder
emphysematous lung disease,28271,28296,166,Disease_Syndrome_Disorder
lung volume reduction,28402,28422,167,Procedure
bronchoscopic,28506,28518,168,Procedure
COPD,28645,28648,168,Disease_Syndrome_Disorder
bronchoscopic lung volume reduction,28718,28752,169,Procedure
2013,28905,28908,171,Date
self-expanding endobronchial occluder,28925,28961,171,Medical_Device
bronchoscopic lung volume reduction,28979,29013,171,Procedure
36 month,29023,29030,171,Duration
severe,29082,29087,172,Modifier
emphysema,29089,29097,172,Disease_Syndrome_Disorder
flexible bronchoscopic placement,29128,29159,172,Procedure
self-expanding endobronchial occluders,29164,29201,172,Medical_Device
1 week,29231,29236,173,Age
pulmonary function testing,29356,29381,174,Test
6-min walk test,29384,29398,174,Test
dyspnea score,29401,29413,174,Test
BODE,29416,29419,174,Test
body mass index,29422,29436,174,Test
air-flow obstruction,29439,29458,174,Disease_Syndrome_Disorder
dyspnea,29461,29467,174,Symptom
exercise capacity,29474,29490,174,Test
index,29493,29497,174,Test
St George's Respiratory Questionnaire,29504,29540,174,Test
self-expanding endobronchial occluders,29558,29595,175,Medical_Device
displacement,29651,29662,176,Symptom
cough,29755,29759,177,Symptom
lobar pneumonia,29781,29795,177,Disease_Syndrome_Disorder
FEV1,29858,29861,178,Test
significant,30075,30085,179,Modifier
changes were observed in FVC,30087,30114,179,Symptom
TLC,30151,30153,179,Test
dyspnea score,30182,30194,180,Test
St George's Respiratory Questionnaire total score,30201,30249,180,Test
improved in 22,30256,30269,180,Test_Result
over a 24-month period,30280,30301,180,RelativeDate
early,30545,30549,182,Modifier
