relation,entity1,entity1_begin,entity1_end,chunk1,entity2,entity2_begin,entity2_end,chunk2,confidence
OVERLAP,PROBLEM,2356,2378,a high maximal workload,TEST,2394,2411,a maximal workload,0.9999541
OVERLAP,TEST,2394,2411,a maximal workload,TREATMENT,2417,2431,cycle ergometry,1.0
OVERLAP,PROBLEM,2706,2714,emphysema,PROBLEM,2738,2744,disease,0.99380785
BEFORE,PROBLEM,2706,2714,emphysema,TEST,2749,2750,CT,0.9999939
OVERLAP,PROBLEM,2738,2744,disease,TEST,2749,2750,CT,0.9874287
OVERLAP,OCCURRENCE,3098,3113,higher mortality,TREATMENT,3120,3123,LVRS,0.9906529
BEFORE,OCCURRENCE,3098,3113,higher mortality,TREATMENT,3135,3149,medical therapy,0.9845399
OVERLAP,TREATMENT,3120,3123,LVRS,TREATMENT,3135,3149,medical therapy,0.98875266
OVERLAP,TEST,3315,3332,exclusion criteria,PROBLEM,3336,3365,Alpha-1 antitrypsin deficiency,0.9999999
OVERLAP,PROBLEM,3417,3432,systemic disease,PROBLEM,3437,3445,neoplasia,0.9999999
OVERLAP,PROBLEM,3437,3445,neoplasia,PROBLEM,3478,3497,"survival
Giant bulla",0.9822963
OVERLAP,PROBLEM,3582,3601,recurrent infections,PROBLEM,3608,3650,clinically significant production of sputum,1.0
BEFORE,PROBLEM,3763,3793,Pleural or interstitial disease,TREATMENT,3811,3817,surgery,0.99959165
OVERLAP,PROBLEM,3872,3893,Pulmonary hypertension,TEST,3907,3936,mean pulmonary artery pressure,0.99992573
OVERLAP,TEST,3964,3990,right heart catheterization,TEST,3995,4033,peak systolic pulmonary artery pressure,0.9999999
BEFORE,PROBLEM,4223,4238,Pulmonary nodule,TREATMENT,4250,4256,surgery,1.0
OVERLAP,PROBLEM,4370,4399,complex ventricular arrhythmia,PROBLEM,4404,4441,sustained supraventricular tachycardia,1.0
OVERLAP,PROBLEM,4370,4399,complex ventricular arrhythmia,PROBLEM,4444,4446,SVT,1.0
OVERLAP,PROBLEM,4449,4473,Uncontrolled hypertension,TEST,4476,4483,systolic,1.0
OVERLAP,TEST,4476,4483,systolic,TEST,4511,4519,diastolic,1.0
BEFORE,DURATION,4592,4599,3 months,TREATMENT,4628,4634,surgery,0.99999964
OVERLAP,PROBLEM,4912,4927,dyspneic members,PROBLEM,4934,4956,giant bulbous emphysema,0.99999917
OVERLAP,PROBLEM,5004,5037,significant respiratory compromise,TEST,5040,5043,FEV1,1.0
OVERLAP,TREATMENT,5093,5120,video-assisted thoracoscopic,TREATMENT,5123,5126,VATS,1.0
OVERLAP,TREATMENT,5093,5120,video-assisted thoracoscopic,TREATMENT,5129,5149,blebectomy/bullectomy,0.91199666
OVERLAP,TREATMENT,5123,5126,VATS,TREATMENT,5129,5149,blebectomy/bullectomy,0.99999666
OVERLAP,TREATMENT,5266,5302,a trans-areolar approach experimental,TREATMENT,5327,5339,the treatment,0.99741423
OVERLAP,TREATMENT,5308,5322,investigational,TREATMENT,5327,5339,the treatment,0.999987
OVERLAP,TREATMENT,5327,5339,the treatment,PROBLEM,5344,5375,primary spontaneous pneumothorax,0.99728465
OVERLAP,PROBLEM,5344,5375,primary spontaneous pneumothorax,TREATMENT,5406,5418,this approach,0.9999441
OVERLAP,TREATMENT,5463,5485,bullectomy experimental,TREATMENT,5491,5505,investigational,0.98637867
BEFORE,PROBLEM,5747,5772,emphysematous lung disease,TREATMENT,5797,5810,this procedure,0.9869364
OVERLAP,TREATMENT,5964,6000,current non-laser surgical techniques,TREATMENT,6006,6020,medical therapy,1.0
OVERLAP,TREATMENT,6626,6638,the treatment,PROBLEM,6643,6651,emphysema,1.0
BEFORE,TREATMENT,6920,6955,bronchoscopic thermal vapor ablation,TREATMENT,6974,6988,investigational,0.9072302
BEFORE,TREATMENT,6974,6988,investigational,TREATMENT,6994,7006,the treatment,0.9915849
BEFORE,TREATMENT,6974,6988,investigational,PROBLEM,7011,7019,emphysema,0.99995387
OVERLAP,TREATMENT,6994,7006,the treatment,PROBLEM,7011,7019,emphysema,0.9999987
OVERLAP,TREATMENT,7084,7112,Lung volume reduction surgery,TREATMENT,7115,7118,LVRS,0.99997425
OVERLAP,PROBLEM,7215,7226,the symptoms,PROBLEM,7231,7276,advanced chronic obstructive pulmonary disease,0.98944074
OVERLAP,PROBLEM,7231,7276,advanced chronic obstructive pulmonary disease,PROBLEM,7279,7282,COPD,1.0
OVERLAP,PROBLEM,7231,7276,advanced chronic obstructive pulmonary disease,PROBLEM,7292,7300,emphysema,0.99997425
OVERLAP,PROBLEM,7279,7282,COPD,PROBLEM,7292,7300,emphysema,0.9999994
BEFORE,TREATMENT,7314,7327,the operations,PROBLEM,7343,7351,emphysema,0.9542228
BEFORE,PROBLEM,7343,7351,emphysema,TREATMENT,7361,7372,the excision,0.987519
OVERLAP,PROBLEM,7343,7351,emphysema,PROBLEM,7377,7388,large bullae,0.99571204
BEFORE,PROBLEM,7343,7351,emphysema,TREATMENT,7393,7403,thoracotomy,0.99914587
OVERLAP,TREATMENT,7361,7372,the excision,TREATMENT,7393,7403,thoracotomy,0.999713
OVERLAP,TREATMENT,7361,7372,the excision,TREATMENT,7408,7419,thoracoscopy,0.9999999
OVERLAP,PROBLEM,7377,7388,large bullae,TREATMENT,7393,7403,thoracotomy,0.9997224
OVERLAP,TREATMENT,7393,7403,thoracotomy,TREATMENT,7408,7419,thoracoscopy,1.0
OVERLAP,TREATMENT,7393,7403,thoracotomy,TREATMENT,7425,7437,the resection,0.9999901
OVERLAP,TREATMENT,7408,7419,thoracoscopy,TREATMENT,7425,7437,the resection,1.0
BEFORE,TREATMENT,7425,7437,the resection,PROBLEM,7442,7476,diffusely emphysematous lung tissue,0.9854187
AFTER,TREATMENT,7480,7498,This latter surgery,OCCURRENCE,7510,7517,referred,0.9990305
AFTER,OCCURRENCE,7510,7517,referred,TREATMENT,7551,7561,pneumectomy,0.99807525
AFTER,OCCURRENCE,7510,7517,referred,TREATMENT,7632,7640,incisions,0.99974805
AFTER,OCCURRENCE,7510,7517,referred,TREATMENT,7643,7652,sternotomy,1.0
OVERLAP,TREATMENT,7525,7548,a lung reduction surgery,TREATMENT,7551,7561,pneumectomy,0.99999976
AFTER,TREATMENT,7568,7589,reduction pneumoplasty,TREATMENT,7632,7640,incisions,0.9761055
OVERLAP,TREATMENT,7632,7640,incisions,TREATMENT,7643,7652,sternotomy,1.0
OVERLAP,TREATMENT,7632,7640,incisions,TREATMENT,7655,7664,clam shell,0.9999963
OVERLAP,TREATMENT,7632,7640,incisions,TREATMENT,7667,7677,thoracotomy,0.9979068
OVERLAP,TREATMENT,7632,7640,incisions,TEST,7686,7697,thoracoscopy,0.9999964
OVERLAP,TREATMENT,7632,7640,incisions,TREATMENT,7705,7722,a staple procedure,0.9359711
OVERLAP,TREATMENT,7643,7652,sternotomy,TREATMENT,7655,7664,clam shell,1.0
OVERLAP,TREATMENT,7643,7652,sternotomy,TREATMENT,7667,7677,thoracotomy,0.9999999
OVERLAP,TREATMENT,7643,7652,sternotomy,TEST,7686,7697,thoracoscopy,1.0
AFTER,TREATMENT,7643,7652,sternotomy,TREATMENT,7727,7744,laser applications,0.95169544
OVERLAP,TREATMENT,7655,7664,clam shell,TREATMENT,7667,7677,thoracotomy,0.9838643
OVERLAP,TREATMENT,7667,7677,thoracotomy,TEST,7686,7697,thoracoscopy,1.0
AFTER,TEST,7686,7697,thoracoscopy,TREATMENT,7727,7744,laser applications,0.9999126
OVERLAP,TREATMENT,7705,7722,a staple procedure,TREATMENT,7727,7744,laser applications,0.9999999
OVERLAP,EVIDENTIAL,7867,7874,reported,OCCURRENCE,7879,7898,peer review journals,1.0
OVERLAP,OCCURRENCE,7879,7898,peer review journals,OCCURRENCE,7901,7909,abstracts,0.9999908
OVERLAP,OCCURRENCE,7879,7898,peer review journals,OCCURRENCE,7915,7927,presentations,0.99999344
OVERLAP,OCCURRENCE,7901,7909,abstracts,OCCURRENCE,7915,7927,presentations,1.0
OVERLAP,OCCURRENCE,7901,7909,abstracts,CLINICAL_DEPT,7932,7948,national meetings,0.9999969
OVERLAP,OCCURRENCE,7901,7909,abstracts,TREATMENT,7951,7954,LVRS,0.9999343
OVERLAP,OCCURRENCE,7915,7927,presentations,CLINICAL_DEPT,7932,7948,national meetings,1.0
OVERLAP,OCCURRENCE,7915,7927,presentations,TREATMENT,7951,7954,LVRS,0.98718077
OVERLAP,CLINICAL_DEPT,7932,7948,national meetings,TREATMENT,7951,7954,LVRS,1.0
BEFORE,OCCURRENCE,8078,8103,post-operative improvement,PROBLEM,8108,8125,exertional dyspnea,0.97031546
OVERLAP,OCCURRENCE,8078,8103,post-operative improvement,TEST,8128,8139,measurements,0.9999827
OVERLAP,OCCURRENCE,8078,8103,post-operative improvement,TEST,8164,8180,exercise capacity,0.9992507
OVERLAP,PROBLEM,8108,8125,exertional dyspnea,TEST,8128,8139,measurements,0.9999999
OVERLAP,PROBLEM,8108,8125,exertional dyspnea,TEST,8144,8161,pulmonary function,0.9790212
OVERLAP,PROBLEM,8108,8125,exertional dyspnea,TEST,8164,8180,exercise capacity,0.9265717
OVERLAP,TEST,8128,8139,measurements,TEST,8144,8161,pulmonary function,1.0
OVERLAP,TEST,8128,8139,measurements,TEST,8164,8180,exercise capacity,1.0
OVERLAP,OCCURRENCE,8231,8242,Improvements,OCCURRENCE,8247,8263,exercise capacity,0.9999999
OVERLAP,OCCURRENCE,8231,8242,Improvements,TREATMENT,8334,8357,pulmonary rehabilitation,0.99950993
OVERLAP,OCCURRENCE,8247,8263,exercise capacity,TREATMENT,8334,8357,pulmonary rehabilitation,0.9996748
OVERLAP,OCCURRENCE,8433,8444,improvements,TEST,8449,8458,spirometry,0.99991536
BEFORE,OCCURRENCE,8433,8444,improvements,FREQUENCY,8477,8481,twice,0.99971765
OVERLAP,OCCURRENCE,8433,8444,improvements,TREATMENT,8495,8515,unilateral procedures,0.9998566
OVERLAP,TEST,8449,8458,spirometry,FREQUENCY,8477,8481,twice,1.0
OVERLAP,TEST,8449,8458,spirometry,TREATMENT,8495,8515,unilateral procedures,0.9991836
OVERLAP,FREQUENCY,8477,8481,twice,TREATMENT,8495,8515,unilateral procedures,0.9997707
OVERLAP,TREATMENT,8583,8604,stapled lung reduction,TREATMENT,8609,8632,laser bullectomy surgery,0.99943477
OVERLAP,PROBLEM,8706,8727,a delayed pneumothorax,PROBLEM,8758,8767,dependency,0.9979983
OVERLAP,PROBLEM,8758,8767,dependency,TREATMENT,8772,8790,supplemental oxygen,1.0
OVERLAP,TEST,8839,8866,the forced expiratory volume,TEST,8881,8884,FEV1,1.0
BEFORE,TEST,8881,8884,FEV1,DURATION,8890,8897,6 months,0.9993844
OVERLAP,TREATMENT,9141,9167,multi-center clinical trial,TREATMENT,9179,9182,LVRS,1.0
OVERLAP,PROBLEM,9465,9482,significant effect,OCCURRENCE,9487,9503,overall mortality,0.97449636
OVERLAP,DURATION,9513,9521,24 months,OCCURRENCE,9524,9540,exercise capacity,1.0
BEFORE,OCCURRENCE,9524,9540,exercise capacity,OCCURRENCE,9546,9553,improved,0.95087385
OVERLAP,PROBLEM,9776,9809,predominantly upper-lobe emphysema,PROBLEM,9815,9845,low base-line exercise capacity,1.0
OVERLAP,PROBLEM,9891,9924,predominantly upper-lobe emphysema,PROBLEM,9930,9950,low exercise capacity,1.0
OVERLAP,PROBLEM,9930,9950,low exercise capacity,OCCURRENCE,9953,9961,mortality,0.9867872
OVERLAP,TREATMENT,10048,10055,contrast,TREATMENT,10058,10061,LVRS,1.0
BEFORE,TREATMENT,10048,10055,contrast,PROBLEM,10083,10106,an increase in mortality,0.95835686
OVERLAP,PROBLEM,10083,10106,an increase in mortality,PROBLEM,10112,10137,negligible functional gain,1.0
OVERLAP,PROBLEM,10159,10196,predominantly non-upper lobe emphysema,PROBLEM,10202,10235,a high base-line exercise capacity,0.92479455
OVERLAP,PROBLEM,10281,10304,non-upper-lobe emphysema,OCCURRENCE,10310,10331,high exercise capacity,0.9999788
OVERLAP,OCCURRENCE,10334,10342,mortality,TREATMENT,10365,10381,the surgery group,0.99402136
AFTER,PROBLEM,10542,10590,National Emphysema Treatment Trial Research Group,DATE,10593,10596,2001,0.96274906
AFTER,DATE,10593,10596,2001,PROBLEM,10632,10636,death,0.9950014
AFTER,DATE,10593,10596,2001,TREATMENT,10644,10650,surgery,0.99998677
AFTER,PROBLEM,10632,10636,death,TREATMENT,10644,10650,surgery,1.0
OVERLAP,PROBLEM,10674,10683,a low FEV1,PROBLEM,10726,10745,homogenous emphysema,0.99977595
AFTER,TEST,10850,10864,A meta analysis,EVIDENTIAL,10887,10894,reported,0.9957331
AFTER,DATE,10881,10884,2005,EVIDENTIAL,10887,10894,reported,0.9999138
OVERLAP,PROBLEM,10936,10943,advanced,PROBLEM,10946,10968,heterogeneous emphysema,1.0
OVERLAP,PROBLEM,10936,10943,advanced,PROBLEM,10974,10995,low exercise tolerance,0.999514
OVERLAP,PROBLEM,10946,10968,heterogeneous emphysema,PROBLEM,10974,10995,low exercise tolerance,1.0
BEFORE,OCCURRENCE,11049,11063,better outcomes,TREATMENT,11070,11073,LVRS,0.9520081
BEFORE,TREATMENT,11362,11369,Patients,TREATMENT,11384,11407,pulmonary rehabilitation,0.9958483
BEFORE,TREATMENT,11362,11369,Patients,TREATMENT,11415,11418,LVRS,0.9999553
AFTER,TREATMENT,11384,11407,pulmonary rehabilitation,TREATMENT,11415,11418,LVRS,1.0
OVERLAP,TREATMENT,11502,11505,LVRS,PROBLEM,11528,11546,alpha-1 antitrypsin,0.9758567
BEFORE,TREATMENT,11502,11505,LVRS,PROBLEM,11549,11551,AAT,0.922446
BEFORE,TREATMENT,11502,11505,LVRS,PROBLEM,11554,11563,deficiency,0.99999785
OVERLAP,PROBLEM,11528,11546,alpha-1 antitrypsin,PROBLEM,11549,11551,AAT,0.9963775
OVERLAP,PROBLEM,11549,11551,AAT,PROBLEM,11554,11563,deficiency,0.9999993
OVERLAP,TEST,11578,11606,These investigators evaluated,TREATMENT,11620,11623,LVRS,1.0
OVERLAP,TEST,11578,11606,These investigators evaluated,OCCURRENCE,11675,11691,analyzed outcomes,0.99994814
OVERLAP,TREATMENT,11620,11623,LVRS,PROBLEM,11645,11668,severe deficiency of AAT,0.9575424
BEFORE,OCCURRENCE,11675,11691,analyzed outcomes,TREATMENT,11700,11737,the National Emphysema Treatment Trial,0.92480314
OVERLAP,PROBLEM,11786,11806,severe AAT deficiency,TEST,11809,11819,serum level,0.9991961
OVERLAP,TEST,11942,11963,median serum AAT level,TEST,11997,12000,FEV1,1.0
AFTER,TREATMENT,12096,12099,LVRS,TREATMENT,12111,12123,the procedure,1.0
BEFORE,PROBLEM,12156,12163,subjects,TEST,12174,12193,statistical analysis,0.9972656
AFTER,PROBLEM,12156,12163,subjects,OCCURRENCE,12196,12211,2-year mortality,0.96727586
AFTER,PROBLEM,12156,12163,subjects,TREATMENT,12229,12235,surgery,0.99562424
OVERLAP,TEST,12174,12193,statistical analysis,OCCURRENCE,12217,12222,higher,1.0
OVERLAP,TEST,12174,12193,statistical analysis,TREATMENT,12229,12235,surgery,0.9966781
OVERLAP,OCCURRENCE,12196,12211,2-year mortality,OCCURRENCE,12217,12222,higher,0.99943966
AFTER,OCCURRENCE,12196,12211,2-year mortality,TREATMENT,12229,12235,surgery,0.99916923
OVERLAP,OCCURRENCE,12217,12222,higher,TREATMENT,12229,12235,surgery,0.99998915
OVERLAP,TREATMENT,12229,12235,surgery,TREATMENT,12265,12281,medical treatment,0.9988669
OVERLAP,TREATMENT,12381,12384,LVRS,EVIDENTIAL,12386,12391,showed,1.0
BEFORE,EVIDENTIAL,12386,12391,showed,PROBLEM,12393,12431,a greater increase in exercise capacity,1.0
OVERLAP,PROBLEM,12393,12431,a greater increase in exercise capacity,DURATION,12436,12443,6 months,1.0
OVERLAP,PROBLEM,12469,12488,a trend toward lower,PROBLEM,12494,12514,shorter duration FEV1,1.0
OVERLAP,PROBLEM,12494,12514,shorter duration FEV1,PROBLEM,12524,12544,deficient individuals,0.9999999
AFTER,PROBLEM,12791,12799,FEV1 rise,TREATMENT,12807,12813,surgery,1.0
AFTER,PROBLEM,12791,12799,FEV1 rise,OCCURRENCE,12818,12830,AAT-deficient,0.9873258
OVERLAP,TREATMENT,12807,12813,surgery,OCCURRENCE,12818,12830,AAT-deficient,0.99999964
AFTER,TREATMENT,12807,12813,surgery,PROBLEM,12839,12858,AAT-replete subjects,0.95963424
AFTER,TREATMENT,12807,12813,surgery,OCCURRENCE,12864,12879,higher mortality,0.9999708
OVERLAP,OCCURRENCE,12818,12830,AAT-deficient,PROBLEM,12839,12858,AAT-replete subjects,0.9998809
OVERLAP,OCCURRENCE,12818,12830,AAT-deficient,OCCURRENCE,12864,12879,higher mortality,0.958085
OVERLAP,OCCURRENCE,12818,12830,AAT-deficient,PROBLEM,12884,12904,deficient individuals,0.99964726
OVERLAP,PROBLEM,12839,12858,AAT-replete subjects,OCCURRENCE,12864,12879,higher mortality,0.9999598
OVERLAP,PROBLEM,12839,12858,AAT-replete subjects,PROBLEM,12884,12904,deficient individuals,0.9969837
OVERLAP,OCCURRENCE,12864,12879,higher mortality,PROBLEM,12884,12904,deficient individuals,0.9999871
BEFORE,PROBLEM,12884,12904,deficient individuals,TREATMENT,12920,12926,surgery,0.9999912
OVERLAP,TREATMENT,12920,12926,surgery,TREATMENT,12935,12951,medical treatment,0.9999981
OVERLAP,TREATMENT,12920,12926,surgery,TREATMENT,12985,12988,LVRS,0.9998672
OVERLAP,TREATMENT,12935,12951,medical treatment,TREATMENT,12985,12988,LVRS,0.9999999
OVERLAP,TREATMENT,12985,12988,LVRS,PROBLEM,12993,13006,AAT deficiency,0.999892
BEFORE,PROBLEM,13010,13032,Giant bullous emphysema,TREATMENT,13035,13037,GBE,0.99997723
OVERLAP,PROBLEM,13010,13032,Giant bullous emphysema,PROBLEM,13074,13077,COPD,1.0
BEFORE,PROBLEM,13074,13077,COPD,PROBLEM,13097,13210,"multiple large bullae encompass 30 % or more of a hemi-thorax, often displacing potentially functional lung tissue",1.0
AFTER,PROBLEM,13097,13210,"multiple large bullae encompass 30 % or more of a hemi-thorax, often displacing potentially functional lung tissue",PROBLEM,13215,13235,these large airspaces,1.0
OVERLAP,PROBLEM,13097,13210,"multiple large bullae encompass 30 % or more of a hemi-thorax, often displacing potentially functional lung tissue",OCCURRENCE,13237,13244,increase,1.0
BEFORE,PROBLEM,13215,13235,these large airspaces,OCCURRENCE,13237,13244,increase,0.9982851
BEFORE,TREATMENT,13280,13297,surgical resection,PROBLEM,13302,13313,these bullae,0.98620033
OVERLAP,TEST,13381,13403,Computed tomography (CT,TEST,13406,13409,scan,0.9905233
OVERLAP,CLINICAL_DEPT,13485,13497,the Institute,OCCURRENCE,13503,13530,Clinical Systems Improvement,0.99734205
AFTER,TREATMENT,13533,13536,ICSI,DATE,13539,13542,2004,0.915297
AFTER,TREATMENT,13533,13536,ICSI,TREATMENT,13546,13555,bullectomy,0.99995697
OVERLAP,DATE,13539,13542,2004,TREATMENT,13546,13555,bullectomy,0.9979861
OVERLAP,CLINICAL_DEPT,13641,13661,the Global Initiative,PROBLEM,13791,13806,reducing dyspnea,0.99990773
AFTER,PROBLEM,13667,13703,Chronic Obstructive Pulmonary Disease,DATE,13720,13723,2005,0.988181
OVERLAP,PROBLEM,13667,13703,Chronic Obstructive Pulmonary Disease,PROBLEM,13791,13806,reducing dyspnea,0.99965847
OVERLAP,DATE,13720,13723,2005,TREATMENT,13760,13773,this procedure,0.99315506
OVERLAP,PROBLEM,13791,13806,reducing dyspnea,OCCURRENCE,13812,13834,improving lung function,1.0
OVERLAP,TEST,13838,13872,A thoracic computed tomography scan,TEST,13875,13904,arterial blood gas measurement,1.0
OVERLAP,TREATMENT,14079,14088,guidelines,CLINICAL_DEPT,14095,14112,National Institute,0.99935764
OVERLAP,TREATMENT,14079,14088,guidelines,DATE,14145,14148,2004,0.99063814
OVERLAP,TREATMENT,14079,14088,guidelines,PROBLEM,14169,14178,breathless,0.99878794
OVERLAP,CLINICAL_DEPT,14095,14112,National Institute,DATE,14145,14148,2004,0.99984896
OVERLAP,CLINICAL_DEPT,14095,14112,National Institute,PROBLEM,14169,14178,breathless,0.9994646
OVERLAP,DATE,14145,14148,2004,PROBLEM,14169,14178,breathless,0.9999167
OVERLAP,PROBLEM,14169,14178,breathless,PROBLEM,14190,14209,a single large bulla,0.9978325
OVERLAP,TEST,14214,14222,a CT scan,TEST,14228,14234,an FEV1,1.0
AFTER,TEST,14214,14222,a CT scan,TREATMENT,14301,14310,bullectomy,0.99994016
AFTER,TEST,14228,14234,an FEV1,TREATMENT,14301,14310,bullectomy,0.9998802
OVERLAP,TEST,14317,14335,a prospective study,CLINICAL_DEPT,14338,14357,Palla and colleagues,0.9999405
OVERLAP,TEST,14317,14335,a prospective study,TEST,14366,14374,evaluated,0.97101945
AFTER,CLINICAL_DEPT,14338,14357,Palla and colleagues,DATE,14360,14363,2005,0.9890143
OVERLAP,CLINICAL_DEPT,14338,14357,Palla and colleagues,OCCURRENCE,14448,14456,mortality,0.9997118
OVERLAP,DATE,14360,14363,2005,TEST,14366,14374,evaluated,0.9999968
OVERLAP,TEST,14366,14374,evaluated,OCCURRENCE,14448,14456,mortality,0.99569917
OVERLAP,TREATMENT,14404,14419,elective surgery,TREATMENT,14468,14474,surgery,0.94223773
OVERLAP,TREATMENT,14428,14430,GBE,OCCURRENCE,14448,14456,mortality,0.98179513
AFTER,TREATMENT,14428,14430,GBE,TREATMENT,14468,14474,surgery,0.9945222
AFTER,OCCURRENCE,14448,14456,mortality,TREATMENT,14468,14474,surgery,0.9999994
OVERLAP,OCCURRENCE,14448,14456,mortality,PROBLEM,14512,14517,bullae,0.99591714
OVERLAP,OCCURRENCE,14448,14456,mortality,PROBLEM,14538,14587,late modifications of clinical and functional data,0.9856807
BEFORE,TREATMENT,14468,14474,surgery,PROBLEM,14512,14517,bullae,0.9919452
BEFORE,TREATMENT,14640,14655,elective surgery,TREATMENT,14661,14663,GBE,0.99927336
AFTER,TREATMENT,14661,14663,GBE,TREATMENT,14711,14720,bullectomy,0.9999795
OVERLAP,TEST,14996,15019,The early mortality rate,DURATION,15039,15050,the 1st year,0.99996674
OVERLAP,TREATMENT,15093,15114,overall mortality rate,DURATION,15119,15125,5 years,1.0
OVERLAP,TREATMENT,15093,15114,overall mortality rate,TREATMENT,15136,15149,mortality rate,0.999864
OVERLAP,PROBLEM,15173,15178,Bullae,PROBLEM,15188,15196,re-appear,0.99993634
OVERLAP,PROBLEM,15173,15178,Bullae,PROBLEM,15202,15216,residual bullae,0.99792826
BEFORE,PROBLEM,15173,15178,Bullae,PROBLEM,15233,15240,enlarged,0.9361924
OVERLAP,PROBLEM,15188,15196,re-appear,PROBLEM,15202,15216,residual bullae,1.0
AFTER,PROBLEM,15188,15196,re-appear,PROBLEM,15233,15240,enlarged,0.99037105
BEFORE,PROBLEM,15202,15216,residual bullae,PROBLEM,15233,15240,enlarged,0.99905723
AFTER,TEST,15297,15309,the follow-up,TREATMENT,15367,15376,bullectomy,0.9994361
OVERLAP,TEST,15297,15309,the follow-up,TEST,15407,15442,follow-up; intra-thoracic gas volume,0.9982412
AFTER,TEST,15312,15328,the dyspnea score,TREATMENT,15367,15376,bullectomy,0.99980444
AFTER,TREATMENT,15367,15376,bullectomy,DURATION,15392,15402,fourth year,0.9974293
OVERLAP,DURATION,15392,15402,fourth year,TEST,15407,15442,follow-up; intra-thoracic gas volume,0.99999976
AFTER,TEST,15516,15523,the FEV1,TEST,15647,15655,follow-up,0.9886796
OVERLAP,TEST,15516,15523,the FEV1,OCCURRENCE,15675,15681,reduced,0.97445506
BEFORE,OCCURRENCE,15589,15598,increasing,DATE,15606,15617,the 2nd year,1.0
OVERLAP,DURATION,15631,15642,the 3rd year,OCCURRENCE,15675,15681,reduced,0.99471563
OVERLAP,TEST,15647,15655,follow-up,OCCURRENCE,15675,15681,reduced,0.9980749
OVERLAP,TEST,15647,15655,follow-up,TEST,15703,15727,the pre-bullectomy values,0.9971731
OVERLAP,OCCURRENCE,15675,15681,reduced,TEST,15703,15727,the pre-bullectomy values,0.9614771
AFTER,OCCURRENCE,15675,15681,reduced,DATE,15735,15746,the 5th year,0.95290536
AFTER,OCCURRENCE,15675,15681,reduced,OCCURRENCE,15751,15759,follow-up,0.98994035
BEFORE,TEST,15703,15727,the pre-bullectomy values,DATE,15735,15746,the 5th year,1.0
BEFORE,TEST,15703,15727,the pre-bullectomy values,OCCURRENCE,15751,15759,follow-up,0.9673693
OVERLAP,DATE,15735,15746,the 5th year,OCCURRENCE,15751,15759,follow-up,0.99851805
